DF0000001	25p35g	178.05	171.01617457760287	178.05
DF0000001	25p37g	163.05	168.78547157137334	168.78547157137334
DF0000001	25p39g	160.05	167.31469071105053	167.31469071105053
DF0000001	25p41g	156.05	164.3624305858985	164.3624305858985
DF0000001	25p43g	143.05	151.93868006826557	151.93868006826557
DF0000001	25p45g	161.05	171.5122742663639	171.5122742663639
DF0000001	25p47g	160.05	174.09280919289665	174.09280919289665
DF0000001	25p49g	150.05	165.06333047282098	165.06333047282098
DF0000001	25p51g	152.05	170.3447949084863	170.3447949084863
DF0000001	25p53g	163.05	175.8240154836856	175.8240154836856
DF0000002	14p35g	143.05	152.16322680842515	152.16322680842515
DF0000002	14p37g	132.05	152.43954004528413	152.43954004528413
DF0000002	14p39g	132.05	159.54982432206194	159.54982432206194
DF0000002	14p41g	127.05	156.32739307820665	156.32739307820665
DF0000002	14p43g	127.05	156.5976904702801	156.5976904702801
DF0000002	14p45g	119.05	148.7170237131353	148.7170237131353
DF0000002	14p47g	129.05	160.97386016347485	160.97386016347485
DF0000002	14p49g	133.05	160.68114283404802	160.68114283404802
DF0000002	14p51g	126.05	152.42264947271335	152.42264947271335
DF0000002	14p53g	135.05	155.1265157617692	155.1265157617692
DF0000004	14p35g	173.05	152.16322680842515	173.05
DF0000004	14p37g	171.05	165.93915176550675	171.05
DF0000004	14p39g	176.05	171.2264986284931	176.05
DF0000004	14p41g	166.05	169.72192758412302	169.72192758412302
DF0000004	14p43g	168.05	174.78447635937545	174.78447635937545
DF0000004	14p45g	156.05	169.70019174563066	169.70019174563066
DF0000004	14p47g	168.05	188.73232424547632	188.73232424547632
DF0000004	14p49g	183.05	198.310943213118	198.310943213118
DF0000004	14p51g	167.05	152.42264947271335	167.05
DF0000004	14p53g	179.05	155.1265157617692	179.05
DF0000244	14p35g	167.05	152.16322680842515	167.05
DF0000244	14p37g	160.05	152.43954004528413	160.05
DF0000244	14p39g	167.05	159.54982432206194	167.05
DF0000244	14p41g	165.05	156.32739307820665	165.05
DF0000244	14p43g	168.05	157.80051843549012	168.05
DF0000244	14p45g	161.05	154.13173704106163	161.05
DF0000244	14p47g	176.05	170.892042297778	176.05
DF0000244	14p49g	177.05	176.96527668125626	177.05
DF0000244	14p51g	170.05	172.46347820000778	172.46347820000778
DF0000244	14p53g	180.05	178.50928242417544	180.05
